"avg_prop_infected","avg_num_infected"
0.2058,205.8
0.4098,409.8
0.4594,459.4
0.4844,484.4
0.4716,471.6
0.4832,483.2
0.4874,487.4
0.4854,485.4
0.4836,483.6
0.4822,482.2
0.4952,495.2
0.4878,487.8
0.472,472
0.4714,471.4
0.4706,470.6
0.4626,462.6
0.475,475
0.4732,473.2
0.483,483
0.4868,486.8
0.4632,463.2
0.479,479
0.4754,475.4
0.4812,481.2
0.488,488
0.4782,478.2
0.4778,477.8
0.4798,479.8
0.473,473
0.4712,471.2
0.4842,484.2
0.4928,492.8
0.4794,479.4
0.4716,471.6
0.4682,468.2
0.4828,482.8
0.485,485
0.4756,475.6
0.4758,475.8
0.4754,475.4
0.482,482
0.4788,478.8
0.4782,478.2
0.4854,485.4
0.4786,478.6
0.472,472
0.4894,489.4
0.4854,485.4
0.4812,481.2
0.488,488
0.4778,477.8
0.4654,465.4
0.4676,467.6
0.47,470
0.4804,480.4
0.4732,473.2
0.46,460
0.4738,473.8
0.4818,481.8
0.4824,482.4
0.4732,473.2
0.4732,473.2
0.4798,479.8
0.4768,476.8
0.48,480
0.4838,483.8
0.4824,482.4
0.475,475
0.4762,476.2
0.4702,470.2
0.4952,495.2
0.4862,486.2
0.4706,470.6
0.4718,471.8
0.4818,481.8
0.4744,474.4
0.4718,471.8
0.474,474
0.4746,474.6
0.484,484
0.4858,485.8
0.4794,479.4
0.4706,470.6
0.473,473
0.4828,482.8
0.4782,478.2
0.4758,475.8
0.4748,474.8
0.4774,477.4
0.4686,468.6
0.469,469
0.4696,469.6
0.4702,470.2
0.4736,473.6
0.4766,476.6
0.4738,473.8
0.4728,472.8
0.4778,477.8
0.488,488
0.4786,478.6
