"avg_prop_infected","avg_num_infected"
0.073,73
0.3792,379.2
0.4674,467.4
0.4688,468.8
0.4662,466.2
0.477,477
0.4778,477.8
0.48,480
0.4826,482.6
0.477,477
0.481,481
0.4838,483.8
0.4754,475.4
0.487,487
0.4754,475.4
0.4868,486.8
0.4728,472.8
0.4752,475.2
0.4736,473.6
0.4798,479.8
0.4816,481.6
0.4672,467.2
0.4736,473.6
0.4894,489.4
0.4786,478.6
0.486,486
0.4702,470.2
0.474,474
0.4762,476.2
0.481,481
0.4736,473.6
0.4828,482.8
0.4752,475.2
0.4738,473.8
0.4708,470.8
0.4718,471.8
0.4718,471.8
0.4836,483.6
0.4654,465.4
0.4754,475.4
0.4692,469.2
0.4788,478.8
0.4856,485.6
0.4802,480.2
0.4712,471.2
0.464,464
0.4702,470.2
0.4794,479.4
0.4706,470.6
0.475,475
0.4828,482.8
0.4748,474.8
0.471,471
0.474,474
0.4782,478.2
0.477,477
0.4832,483.2
0.474,474
0.466,466
0.463,463
0.4742,474.2
0.4684,468.4
0.4844,484.4
0.4678,467.8
0.483,483
0.4834,483.4
0.4708,470.8
0.4736,473.6
0.4704,470.4
0.4696,469.6
0.4844,484.4
0.484,484
0.4762,476.2
0.4668,466.8
0.4802,480.2
0.483,483
0.4794,479.4
0.4822,482.2
0.4828,482.8
0.4784,478.4
0.4654,465.4
0.4762,476.2
0.4852,485.2
0.4784,478.4
0.478,478
0.4788,478.8
0.487,487
0.4772,477.2
0.4744,474.4
0.4658,465.8
0.4894,489.4
0.481,481
0.4724,472.4
0.4816,481.6
0.4672,467.2
0.4754,475.4
0.4826,482.6
0.478,478
0.4772,477.2
0.4702,470.2
