"avg_prop_infected","avg_num_infected"
0.2012,201.2
0.3986,398.6
0.4636,463.6
0.4648,464.8
0.4728,472.8
0.486,486
0.4812,481.2
0.4862,486.2
0.4772,477.2
0.4612,461.2
0.4806,480.6
0.4882,488.2
0.4852,485.2
0.4774,477.4
0.4832,483.2
0.475,475
0.4754,475.4
0.475,475
0.4804,480.4
0.4776,477.6
0.4808,480.8
0.4786,478.6
0.477,477
0.4868,486.8
0.4768,476.8
0.4728,472.8
0.4748,474.8
0.477,477
0.4832,483.2
0.4658,465.8
0.4858,485.8
0.4906,490.6
0.4814,481.4
0.4756,475.6
0.485,485
0.4798,479.8
0.4804,480.4
0.4698,469.8
0.4756,475.6
0.468,468
0.4732,473.2
0.4798,479.8
0.489,489
0.4882,488.2
0.4786,478.6
0.4792,479.2
0.4872,487.2
0.4904,490.4
0.4754,475.4
0.4746,474.6
0.4858,485.8
0.4814,481.4
0.4846,484.6
0.4724,472.4
0.4812,481.2
0.4704,470.4
0.4848,484.8
0.4838,483.8
0.4866,486.6
0.48,480
0.4758,475.8
0.4684,468.4
0.4788,478.8
0.4862,486.2
0.4788,478.8
0.4812,481.2
0.479,479
0.4658,465.8
0.4814,481.4
0.4708,470.8
0.4836,483.6
0.486,486
0.4772,477.2
0.4632,463.2
0.4636,463.6
0.4798,479.8
0.471,471
0.477,477
0.4826,482.6
0.4758,475.8
0.4734,473.4
0.4686,468.6
0.4704,470.4
0.4764,476.4
0.4744,474.4
0.4724,472.4
0.4864,486.4
0.4884,488.4
0.4802,480.2
0.4792,479.2
0.4714,471.4
0.4714,471.4
0.4832,483.2
0.4766,476.6
0.4752,475.2
0.4792,479.2
0.4812,481.2
0.4828,482.8
0.485,485
0.4802,480.2
