"avg_prop_infected","avg_num_infected"
0.204,204
0.395,395
0.4618,461.8
0.4786,478.6
0.4762,476.2
0.473,473
0.4716,471.6
0.4912,491.2
0.4754,475.4
0.4752,475.2
0.4834,483.4
0.4822,482.2
0.4776,477.6
0.4688,468.8
0.481,481
0.4726,472.6
0.4792,479.2
0.4772,477.2
0.4876,487.6
0.4854,485.4
0.4774,477.4
0.4874,487.4
0.5,500
0.4922,492.2
0.4856,485.6
0.4804,480.4
0.4696,469.6
0.4778,477.8
0.4904,490.4
0.4742,474.2
0.4696,469.6
0.4736,473.6
0.4712,471.2
0.4692,469.2
0.468,468
0.489,489
0.4754,475.4
0.4876,487.6
0.4888,488.8
0.479,479
0.4752,475.2
0.4754,475.4
0.4736,473.6
0.4738,473.8
0.477,477
0.4716,471.6
0.4748,474.8
0.476,476
0.4702,470.2
0.471,471
0.4788,478.8
0.4742,474.2
0.4792,479.2
0.4834,483.4
0.4766,476.6
0.4684,468.4
0.4754,475.4
0.4656,465.6
0.4684,468.4
0.4692,469.2
0.475,475
0.472,472
0.4556,455.6
0.4808,480.8
0.4808,480.8
0.4844,484.4
0.4932,493.2
0.4846,484.6
0.4768,476.8
0.4838,483.8
0.4758,475.8
0.4732,473.2
0.4768,476.8
0.4762,476.2
0.478,478
0.4722,472.2
0.4848,484.8
0.4846,484.6
0.4772,477.2
0.4724,472.4
0.4752,475.2
0.4746,474.6
0.4906,490.6
0.48,480
0.479,479
0.473,473
0.4874,487.4
0.4788,478.8
0.4862,486.2
0.4798,479.8
0.466,466
0.471,471
0.4658,465.8
0.4742,474.2
0.4766,476.6
0.4906,490.6
0.4708,470.8
0.4816,481.6
0.4742,474.2
0.4746,474.6
