"avg_prop_infected","avg_num_infected"
0.443,443
0.526,526
0.5536,553.6
0.579,579
0.594,594
0.5952,595.2
0.5932,593.2
0.5892,589.2
0.5942,594.2
0.6018,601.8
0.5912,591.2
0.5998,599.8
0.5988,598.8
0.5924,592.4
0.5864,586.4
0.5928,592.8
0.5944,594.4
0.6014,601.4
0.5856,585.6
0.5966,596.6
0.5956,595.6
0.6056,605.6
0.5986,598.6
0.595,595
0.5884,588.4
0.5958,595.8
0.5938,593.8
0.5954,595.4
0.5952,595.2
0.601,601
0.5912,591.2
0.5828,582.8
0.588,588
0.5964,596.4
0.5924,592.4
0.6008,600.8
0.5906,590.6
0.592,592
0.6004,600.4
0.5978,597.8
0.6026,602.6
0.5972,597.2
0.598,598
0.5998,599.8
0.5946,594.6
0.5934,593.4
0.5934,593.4
0.5846,584.6
0.5888,588.8
0.592,592
0.5862,586.2
0.5946,594.6
0.597,597
0.5908,590.8
0.5834,583.4
0.592,592
0.5944,594.4
0.5884,588.4
0.5908,590.8
0.595,595
0.5916,591.6
0.5794,579.4
0.5848,584.8
0.5876,587.6
0.59,590
0.5858,585.8
0.5978,597.8
0.5892,589.2
0.5944,594.4
0.596,596
0.5854,585.4
0.589,589
0.5874,587.4
0.5994,599.4
0.5914,591.4
0.5878,587.8
0.589,589
0.5802,580.2
0.5848,584.8
0.5824,582.4
0.5908,590.8
0.5902,590.2
0.6002,600.2
0.5896,589.6
0.5906,590.6
0.5978,597.8
0.5976,597.6
0.592,592
0.5904,590.4
0.5878,587.8
0.5928,592.8
0.5924,592.4
0.6032,603.2
0.5956,595.6
0.5908,590.8
0.5826,582.6
0.586,586
0.5896,589.6
0.5962,596.2
0.593,593
