"avg_prop_infected","avg_num_infected"
0.4508,450.8
0.5284,528.4
0.5564,556.4
0.5814,581.4
0.5866,586.6
0.6018,601.8
0.6056,605.6
0.6002,600.2
0.5968,596.8
0.5964,596.4
0.5984,598.4
0.5888,588.8
0.5936,593.6
0.5958,595.8
0.5936,593.6
0.5972,597.2
0.597,597
0.6008,600.8
0.5958,595.8
0.5994,599.4
0.5972,597.2
0.5896,589.6
0.6024,602.4
0.5906,590.6
0.5964,596.4
0.5814,581.4
0.5906,590.6
0.5934,593.4
0.5968,596.8
0.5928,592.8
0.593,593
0.5886,588.6
0.6004,600.4
0.5898,589.8
0.5882,588.2
0.5958,595.8
0.5926,592.6
0.5958,595.8
0.592,592
0.5936,593.6
0.5938,593.8
0.5964,596.4
0.6036,603.6
0.6014,601.4
0.5942,594.2
0.5992,599.2
0.5932,593.2
0.6014,601.4
0.607,607
0.5996,599.6
0.605,605
0.595,595
0.5918,591.8
0.59,590
0.5896,589.6
0.592,592
0.5868,586.8
0.5898,589.8
0.5992,599.2
0.596,596
0.5894,589.4
0.596,596
0.5916,591.6
0.593,593
0.6008,600.8
0.5908,590.8
0.5842,584.2
0.5942,594.2
0.5926,592.6
0.5944,594.4
0.597,597
0.6048,604.8
0.5988,598.8
0.5914,591.4
0.5904,590.4
0.5946,594.6
0.5992,599.2
0.5994,599.4
0.5868,586.8
0.5858,585.8
0.5868,586.8
0.5936,593.6
0.5908,590.8
0.596,596
0.6004,600.4
0.5952,595.2
0.5882,588.2
0.5958,595.8
0.5958,595.8
0.596,596
0.588,588
0.5964,596.4
0.5854,585.4
0.586,586
0.5814,581.4
0.588,588
0.5924,592.4
0.5966,596.6
0.6032,603.2
0.6004,600.4
