"avg_prop_infected","avg_num_infected"
0.4524,452.4
0.5228,522.8
0.5646,564.6
0.5856,585.6
0.589,589
0.5946,594.6
0.5956,595.6
0.5934,593.4
0.5996,599.6
0.6012,601.2
0.5972,597.2
0.594,594
0.5938,593.8
0.598,598
0.6058,605.8
0.6028,602.8
0.5964,596.4
0.5998,599.8
0.6004,600.4
0.5982,598.2
0.6028,602.8
0.6026,602.6
0.5998,599.8
0.597,597
0.5924,592.4
0.5894,589.4
0.5948,594.8
0.596,596
0.5912,591.2
0.5836,583.6
0.5904,590.4
0.5908,590.8
0.5888,588.8
0.5896,589.6
0.5898,589.8
0.5968,596.8
0.5878,587.8
0.5782,578.2
0.5914,591.4
0.5926,592.6
0.598,598
0.6026,602.6
0.6016,601.6
0.6066,606.6
0.5988,598.8
0.5962,596.2
0.5948,594.8
0.5972,597.2
0.6012,601.2
0.5926,592.6
0.5932,593.2
0.59,590
0.594,594
0.5994,599.4
0.5886,588.6
0.5912,591.2
0.5974,597.4
0.5988,598.8
0.596,596
0.59,590
0.5864,586.4
0.598,598
0.5964,596.4
0.5952,595.2
0.5844,584.4
0.5952,595.2
0.5886,588.6
0.5826,582.6
0.599,599
0.5968,596.8
0.5896,589.6
0.5912,591.2
0.5866,586.6
0.5934,593.4
0.5848,584.8
0.5884,588.4
0.5894,589.4
0.5932,593.2
0.5898,589.8
0.5984,598.4
0.6014,601.4
0.5912,591.2
0.5926,592.6
0.5946,594.6
0.5948,594.8
0.589,589
0.5912,591.2
0.589,589
0.5898,589.8
0.593,593
0.5966,596.6
0.5882,588.2
0.6002,600.2
0.5932,593.2
0.595,595
0.5958,595.8
0.5962,596.2
0.5944,594.4
0.5922,592.2
0.5942,594.2
