"avg_prop_infected","avg_num_infected"
0.3116,311.6
0.4268,426.8
0.499,499
0.5516,551.6
0.5716,571.6
0.5794,579.4
0.5872,587.2
0.5912,591.2
0.5902,590.2
0.5858,585.8
0.6038,603.8
0.5898,589.8
0.6024,602.4
0.595,595
0.5942,594.2
0.5916,591.6
0.5982,598.2
0.6004,600.4
0.5842,584.2
0.5992,599.2
0.5974,597.4
0.6118,611.8
0.601,601
0.59,590
0.6026,602.6
0.6028,602.8
0.5888,588.8
0.5966,596.6
0.599,599
0.5886,588.6
0.5896,589.6
0.5934,593.4
0.5938,593.8
0.5976,597.6
0.597,597
0.5928,592.8
0.5918,591.8
0.5938,593.8
0.586,586
0.5832,583.2
0.5972,597.2
0.5884,588.4
0.5868,586.8
0.591,591
0.599,599
0.5944,594.4
0.5872,587.2
0.5898,589.8
0.5902,590.2
0.5888,588.8
0.588,588
0.587,587
0.5942,594.2
0.603,603
0.5978,597.8
0.5964,596.4
0.5938,593.8
0.6022,602.2
0.5904,590.4
0.588,588
0.5946,594.6
0.5928,592.8
0.5962,596.2
0.5876,587.6
0.5964,596.4
0.5834,583.4
0.5916,591.6
0.594,594
0.5826,582.6
0.598,598
0.6032,603.2
0.604,604
0.5948,594.8
0.5912,591.2
0.5948,594.8
0.5894,589.4
0.5974,597.4
0.5908,590.8
0.593,593
0.5936,593.6
0.5858,585.8
0.5978,597.8
0.59,590
0.595,595
0.5914,591.4
0.5938,593.8
0.591,591
0.5986,598.6
0.5984,598.4
0.6094,609.4
0.5952,595.2
0.597,597
0.5976,597.6
0.5948,594.8
0.5972,597.2
0.5872,587.2
0.5926,592.6
0.5974,597.4
0.5954,595.4
0.6006,600.6
