"avg_prop_infected","avg_num_infected"
0.3078,307.8
0.4324,432.4
0.5072,507.2
0.5482,548.2
0.5654,565.4
0.5822,582.2
0.5824,582.4
0.5734,573.4
0.5876,587.6
0.5896,589.6
0.5954,595.4
0.5946,594.6
0.594,594
0.5908,590.8
0.5952,595.2
0.6008,600.8
0.5962,596.2
0.5874,587.4
0.5978,597.8
0.5848,584.8
0.6016,601.6
0.6008,600.8
0.601,601
0.5988,598.8
0.5956,595.6
0.5956,595.6
0.5876,587.6
0.5952,595.2
0.5928,592.8
0.5924,592.4
0.5948,594.8
0.5958,595.8
0.5892,589.2
0.6014,601.4
0.5938,593.8
0.5926,592.6
0.597,597
0.5928,592.8
0.5978,597.8
0.6006,600.6
0.597,597
0.5956,595.6
0.5818,581.8
0.5914,591.4
0.591,591
0.5898,589.8
0.5844,584.4
0.5776,577.6
0.5846,584.6
0.5902,590.2
0.5976,597.6
0.5892,589.2
0.5844,584.4
0.5954,595.4
0.5986,598.6
0.5998,599.8
0.5846,584.6
0.5878,587.8
0.5918,591.8
0.5934,593.4
0.5944,594.4
0.5998,599.8
0.5898,589.8
0.6056,605.6
0.604,604
0.6018,601.8
0.602,602
0.5926,592.6
0.598,598
0.5842,584.2
0.5888,588.8
0.6058,605.8
0.5948,594.8
0.5874,587.4
0.5828,582.8
0.6012,601.2
0.5962,596.2
0.5934,593.4
0.5952,595.2
0.599,599
0.5904,590.4
0.5944,594.4
0.5924,592.4
0.5912,591.2
0.5952,595.2
0.5828,582.8
0.5882,588.2
0.5982,598.2
0.5886,588.6
0.5814,581.4
0.5836,583.6
0.5974,597.4
0.6014,601.4
0.5832,583.2
0.5858,585.8
0.5906,590.6
0.5876,587.6
0.5886,588.6
0.603,603
0.5922,592.2
