"avg_prop_infected","avg_num_infected"
0.285,285
0.3622,362.2
0.4338,433.8
0.4828,482.8
0.5238,523.8
0.5454,545.4
0.5772,577.2
0.616,616
0.631,631
0.626,626
0.6454,645.4
0.6524,652.4
0.6662,666.2
0.6732,673.2
0.6784,678.4
0.6878,687.8
0.6816,681.6
0.687,687
0.6844,684.4
0.6918,691.8
0.7052,705.2
0.7096,709.6
0.7158,715.8
0.7204,720.4
0.7268,726.8
0.7166,716.6
0.7192,719.2
0.7138,713.8
0.7184,718.4
0.7198,719.8
0.7206,720.6
0.7164,716.4
0.7228,722.8
0.7096,709.6
0.7242,724.2
0.7338,733.8
0.7354,735.4
0.7296,729.6
0.7298,729.8
0.7254,725.4
0.7304,730.4
0.7198,719.8
0.7236,723.6
0.7228,722.8
0.7258,725.8
0.7284,728.4
0.7268,726.8
0.74,740
0.729,729
0.7346,734.6
0.7286,728.6
0.732,732
0.7268,726.8
0.724,724
0.7278,727.8
0.7182,718.2
0.7264,726.4
0.7312,731.2
0.7288,728.8
0.739,739
0.7378,737.8
0.7272,727.2
0.7322,732.2
0.7312,731.2
0.7334,733.4
0.7232,723.2
0.7316,731.6
0.7236,723.6
0.73,730
0.7378,737.8
0.7424,742.4
0.729,729
0.7222,722.2
0.7272,727.2
0.724,724
0.738,738
0.7302,730.2
0.7346,734.6
0.7314,731.4
0.7364,736.4
0.7238,723.8
0.7232,723.2
0.723,723
0.723,723
0.7328,732.8
0.7342,734.2
0.7274,727.4
0.7278,727.8
0.7256,725.6
0.7232,723.2
0.7182,718.2
0.7276,727.6
0.7276,727.6
0.7354,735.4
0.731,731
0.7404,740.4
0.7414,741.4
0.734,734
0.7268,726.8
0.7376,737.6
