"avg_prop_infected","avg_num_infected"
0.388,388
0.446,446
0.4964,496.4
0.5452,545.2
0.5822,582.2
0.6096,609.6
0.6308,630.8
0.6416,641.6
0.65,650
0.6722,672.2
0.6942,694.2
0.688,688
0.7028,702.8
0.7084,708.4
0.7174,717.4
0.7252,725.2
0.7244,724.4
0.7212,721.2
0.7364,736.4
0.7322,732.2
0.732,732
0.7274,727.4
0.7144,714.4
0.7246,724.6
0.7174,717.4
0.7154,715.4
0.7272,727.2
0.7232,723.2
0.7302,730.2
0.7304,730.4
0.7356,735.6
0.7346,734.6
0.7388,738.8
0.7354,735.4
0.7284,728.4
0.7358,735.8
0.7384,738.4
0.7282,728.2
0.735,735
0.7346,734.6
0.7286,728.6
0.7342,734.2
0.7268,726.8
0.7358,735.8
0.7472,747.2
0.7274,727.4
0.731,731
0.735,735
0.7436,743.6
0.7422,742.2
0.7388,738.8
0.7404,740.4
0.7416,741.6
0.7382,738.2
0.735,735
0.7408,740.8
0.7376,737.6
0.7266,726.6
0.726,726
0.7202,720.2
0.7188,718.8
0.7384,738.4
0.7304,730.4
0.7392,739.2
0.7398,739.8
0.743,743
0.735,735
0.7424,742.4
0.7354,735.4
0.73,730
0.728,728
0.7318,731.8
0.7336,733.6
0.7252,725.2
0.7378,737.8
0.7282,728.2
0.7386,738.6
0.735,735
0.7324,732.4
0.7338,733.8
0.7446,744.6
0.7304,730.4
0.7282,728.2
0.7342,734.2
0.734,734
0.7238,723.8
0.7278,727.8
0.7298,729.8
0.7326,732.6
0.733,733
0.7324,732.4
0.7398,739.8
0.7378,737.8
0.7348,734.8
0.736,736
0.739,739
0.7292,729.2
0.7348,734.8
0.7358,735.8
0.7402,740.2
