"avg_prop_infected","avg_num_infected"
0.2678,267.8
0.3402,340.2
0.4044,404.4
0.4656,465.6
0.5072,507.2
0.5392,539.2
0.5616,561.6
0.592,592
0.6132,613.2
0.6266,626.6
0.6292,629.2
0.6436,643.6
0.6538,653.8
0.6614,661.4
0.668,668
0.68,680
0.6892,689.2
0.6806,680.6
0.694,694
0.7116,711.6
0.7042,704.2
0.697,697
0.7112,711.2
0.7028,702.8
0.705,705
0.7096,709.6
0.7172,717.2
0.7202,720.2
0.7132,713.2
0.7206,720.6
0.715,715
0.7176,717.6
0.7174,717.4
0.7292,729.2
0.7342,734.2
0.7296,729.6
0.7274,727.4
0.7362,736.2
0.7234,723.4
0.7232,723.2
0.7296,729.6
0.7342,734.2
0.721,721
0.7258,725.8
0.723,723
0.7292,729.2
0.727,727
0.7334,733.4
0.733,733
0.741,741
0.7388,738.8
0.7338,733.8
0.735,735
0.739,739
0.7238,723.8
0.7262,726.2
0.7288,728.8
0.7276,727.6
0.7192,719.2
0.7224,722.4
0.7266,726.6
0.7264,726.4
0.7298,729.8
0.727,727
0.7352,735.2
0.7238,723.8
0.7306,730.6
0.731,731
0.7252,725.2
0.732,732
0.7292,729.2
0.7246,724.6
0.7242,724.2
0.7196,719.6
0.7218,721.8
0.7216,721.6
0.716,716
0.7284,728.4
0.7286,728.6
0.7248,724.8
0.7288,728.8
0.7264,726.4
0.7328,732.8
0.726,726
0.7162,716.2
0.7204,720.4
0.7254,725.4
0.7224,722.4
0.7222,722.2
0.7332,733.2
0.7442,744.2
0.7314,731.4
0.7308,730.8
0.7222,722.2
0.725,725
0.7284,728.4
0.7232,723.2
0.7218,721.8
0.7274,727.4
0.7228,722.8
