"avg_prop_infected","avg_num_infected"
0.2668,266.8
0.3348,334.8
0.395,395
0.44,440
0.4766,476.6
0.5202,520.2
0.5554,555.4
0.5818,581.8
0.6016,601.6
0.6192,619.2
0.641,641
0.667,667
0.6778,677.8
0.6884,688.4
0.7082,708.2
0.7138,713.8
0.7108,710.8
0.7312,731.2
0.7356,735.6
0.7494,749.4
0.749,749
0.7456,745.6
0.7514,751.4
0.7576,757.6
0.751,751
0.7598,759.8
0.7556,755.6
0.7524,752.4
0.7648,764.8
0.77,770
0.7774,777.4
0.776,776
0.7734,773.4
0.7662,766.2
0.777,777
0.7726,772.6
0.7634,763.4
0.7678,767.8
0.759,759
0.766,766
0.777,777
0.7716,771.6
0.7788,778.8
0.7684,768.4
0.7668,766.8
0.7632,763.2
0.7714,771.4
0.7694,769.4
0.7602,760.2
0.7734,773.4
0.7842,784.2
0.7766,776.6
0.754,754
0.7574,757.4
0.7626,762.6
0.7672,767.2
0.7684,768.4
0.7706,770.6
0.7678,767.8
0.7792,779.2
0.773,773
0.758,758
0.7626,762.6
0.7704,770.4
0.7736,773.6
0.7684,768.4
0.7688,768.8
0.7726,772.6
0.7836,783.6
0.778,778
0.7786,778.6
0.7674,767.4
0.7758,775.8
0.7806,780.6
0.767,767
0.7664,766.4
0.7702,770.2
0.777,777
0.7748,774.8
0.7794,779.4
0.7844,784.4
0.769,769
0.7726,772.6
0.7762,776.2
0.7726,772.6
0.7762,776.2
0.7678,767.8
0.7696,769.6
0.7728,772.8
0.7758,775.8
0.7684,768.4
0.768,768
0.775,775
0.7686,768.6
0.776,776
0.7842,784.2
0.7788,778.8
0.7888,788.8
0.7756,775.6
0.7746,774.6
