"avg_prop_infected","avg_num_infected"
0.3632,363.2
0.4242,424.2
0.4622,462.2
0.5098,509.8
0.5564,556.4
0.59,590
0.6084,608.4
0.637,637
0.6502,650.2
0.6576,657.6
0.6682,668.2
0.6774,677.4
0.6842,684.2
0.694,694
0.7086,708.6
0.712,712
0.718,718
0.7246,724.6
0.7338,733.8
0.7328,732.8
0.7372,737.2
0.7426,742.6
0.7508,750.8
0.7418,741.8
0.7382,738.2
0.7624,762.4
0.768,768
0.7664,766.4
0.7676,767.6
0.7718,771.8
0.786,786
0.7816,781.6
0.7742,774.2
0.7678,767.8
0.7736,773.6
0.7662,766.2
0.7676,767.6
0.7652,765.2
0.7682,768.2
0.7588,758.8
0.7664,766.4
0.7756,775.6
0.7792,779.2
0.7884,788.4
0.7728,772.8
0.7726,772.6
0.7716,771.6
0.7798,779.8
0.7742,774.2
0.7762,776.2
0.7642,764.2
0.7704,770.4
0.7738,773.8
0.7786,778.6
0.7778,777.8
0.774,774
0.771,771
0.7722,772.2
0.7734,773.4
0.7744,774.4
0.7682,768.2
0.771,771
0.7632,763.2
0.768,768
0.7662,766.2
0.7654,765.4
0.7764,776.4
0.7782,778.2
0.7782,778.2
0.7798,779.8
0.7796,779.6
0.7844,784.4
0.771,771
0.7786,778.6
0.7746,774.6
0.776,776
0.7784,778.4
0.7724,772.4
0.7716,771.6
0.7806,780.6
0.7758,775.8
0.7794,779.4
0.771,771
0.7844,784.4
0.7796,779.6
0.78,780
0.7888,788.8
0.7826,782.6
0.7758,775.8
0.7756,775.6
0.7674,767.4
0.7692,769.2
0.7714,771.4
0.7726,772.6
0.7664,766.4
0.7502,750.2
0.7626,762.6
0.7696,769.6
0.7624,762.4
0.775,775
