"avg_prop_infected","avg_num_infected"
0.2456,245.6
0.3218,321.8
0.3878,387.8
0.431,431
0.4698,469.8
0.5134,513.4
0.5394,539.4
0.561,561
0.5984,598.4
0.6168,616.8
0.638,638
0.6446,644.6
0.6652,665.2
0.6754,675.4
0.6868,686.8
0.6974,697.4
0.6866,686.6
0.7026,702.6
0.7158,715.8
0.7202,720.2
0.7314,731.4
0.7408,740.8
0.741,741
0.7524,752.4
0.7494,749.4
0.7552,755.2
0.7704,770.4
0.7596,759.6
0.7638,763.8
0.7678,767.8
0.764,764
0.765,765
0.7624,762.4
0.7658,765.8
0.7716,771.6
0.7632,763.2
0.7698,769.8
0.765,765
0.7626,762.6
0.7706,770.6
0.767,767
0.7688,768.8
0.7748,774.8
0.7592,759.2
0.7726,772.6
0.7754,775.4
0.7732,773.2
0.7706,770.6
0.7738,773.8
0.778,778
0.7672,767.2
0.766,766
0.7586,758.6
0.7654,765.4
0.7608,760.8
0.7676,767.6
0.7714,771.4
0.774,774
0.7678,767.8
0.7708,770.8
0.7726,772.6
0.7784,778.4
0.7664,766.4
0.7658,765.8
0.7724,772.4
0.7646,764.6
0.7674,767.4
0.763,763
0.7698,769.8
0.7728,772.8
0.7802,780.2
0.768,768
0.7838,783.8
0.7754,775.4
0.7712,771.2
0.7734,773.4
0.77,770
0.7714,771.4
0.7644,764.4
0.7576,757.6
0.766,766
0.7828,782.8
0.7858,785.8
0.7772,777.2
0.7936,793.6
0.7736,773.6
0.7772,777.2
0.7788,778.8
0.7704,770.4
0.7754,775.4
0.7716,771.6
0.7734,773.4
0.7672,767.2
0.7808,780.8
0.7864,786.4
0.7754,775.4
0.7816,781.6
0.7728,772.8
0.7752,775.2
0.7678,767.8
