"avg_prop_infected","avg_num_infected"
0.378,378
0.4226,422.6
0.4686,468.6
0.51,510
0.536,536
0.5768,576.8
0.5852,585.2
0.6218,621.8
0.6378,637.8
0.6542,654.2
0.6804,680.4
0.686,686
0.7056,705.6
0.709,709
0.7032,703.2
0.719,719
0.7376,737.6
0.7384,738.4
0.7338,733.8
0.7464,746.4
0.7514,751.4
0.7578,757.8
0.7654,765.4
0.7688,768.8
0.7712,771.2
0.777,777
0.7702,770.2
0.754,754
0.756,756
0.764,764
0.7674,767.4
0.7574,757.4
0.7664,766.4
0.7702,770.2
0.7694,769.4
0.776,776
0.773,773
0.7724,772.4
0.7726,772.6
0.771,771
0.7752,775.2
0.7726,772.6
0.7814,781.4
0.7794,779.4
0.782,782
0.7742,774.2
0.7708,770.8
0.7818,781.8
0.7758,775.8
0.763,763
0.769,769
0.7808,780.8
0.7832,783.2
0.7796,779.6
0.769,769
0.7658,765.8
0.7756,775.6
0.7782,778.2
0.7698,769.8
0.7712,771.2
0.7762,776.2
0.7938,793.8
0.7746,774.6
0.7652,765.2
0.7784,778.4
0.7772,777.2
0.771,771
0.7716,771.6
0.7668,766.8
0.774,774
0.7548,754.8
0.7748,774.8
0.7686,768.6
0.7668,766.8
0.7694,769.4
0.7716,771.6
0.7756,775.6
0.7754,775.4
0.772,772
0.772,772
0.7806,780.6
0.7788,778.8
0.7718,771.8
0.7736,773.6
0.7748,774.8
0.7694,769.4
0.7716,771.6
0.7846,784.6
0.784,784
0.7888,788.8
0.7776,777.6
0.774,774
0.7722,772.2
0.7742,774.2
0.7878,787.8
0.7708,770.8
0.7714,771.4
0.7714,771.4
0.7748,774.8
0.7786,778.6
