"avg_prop_infected","avg_num_infected"
0.0112,11.2
0.0114,11.4
0.0118,11.8
0.0128,12.8
0.0132,13.2
0.0132,13.2
0.014,14
0.0146,14.6
0.0148,14.8
0.0152,15.2
0.0168,16.8
0.017,17
0.0174,17.4
0.0186,18.6
0.0194,19.4
0.0196,19.6
0.0198,19.8
0.0206,20.6
0.021,21
0.0214,21.4
0.0218,21.8
0.0226,22.6
0.0234,23.4
0.024,24
0.0244,24.4
0.025,25
0.025,25
0.026,26
0.027,27
0.0276,27.6
0.0288,28.8
0.0292,29.2
0.0296,29.6
0.0312,31.2
0.0316,31.6
0.0322,32.2
0.033,33
0.0332,33.2
0.0338,33.8
0.0342,34.2
0.0346,34.6
0.0352,35.2
0.0358,35.8
0.0366,36.6
0.0366,36.6
0.0368,36.8
0.0372,37.2
0.0374,37.4
0.0378,37.8
0.038,38
0.0384,38.4
0.0398,39.8
0.0404,40.4
0.0408,40.8
0.0416,41.6
0.042,42
0.0428,42.8
0.0432,43.2
0.0434,43.4
0.0434,43.4
0.044,44
0.0444,44.4
0.045,45
0.045,45
0.0452,45.2
0.0452,45.2
0.0452,45.2
0.046,46
0.0462,46.2
0.0466,46.6
0.0468,46.8
0.0472,47.2
0.0484,48.4
0.0484,48.4
0.0488,48.8
0.0488,48.8
0.0492,49.2
0.0496,49.6
0.0496,49.6
0.0496,49.6
0.05,50
0.0504,50.4
0.0512,51.2
0.0512,51.2
0.0512,51.2
0.0512,51.2
0.0516,51.6
0.0518,51.8
0.052,52
0.0524,52.4
0.0528,52.8
0.0528,52.8
0.0528,52.8
0.053,53
0.0534,53.4
0.054,54
0.0544,54.4
0.0546,54.6
0.0552,55.2
0.0554,55.4
