"avg_prop_infected","avg_num_infected"
0.011,11
0.0124,12.4
0.0134,13.4
0.0144,14.4
0.0156,15.6
0.0164,16.4
0.0176,17.6
0.0184,18.4
0.019,19
0.0198,19.8
0.0208,20.8
0.0218,21.8
0.0226,22.6
0.0234,23.4
0.0244,24.4
0.0248,24.8
0.0262,26.2
0.0268,26.8
0.0272,27.2
0.0284,28.4
0.0294,29.4
0.0298,29.8
0.0302,30.2
0.0312,31.2
0.0318,31.8
0.0322,32.2
0.0332,33.2
0.034,34
0.034,34
0.034,34
0.0342,34.2
0.035,35
0.0356,35.6
0.0364,36.4
0.037,37
0.037,37
0.0376,37.6
0.0376,37.6
0.0378,37.8
0.0384,38.4
0.0388,38.8
0.04,40
0.0408,40.8
0.0412,41.2
0.0416,41.6
0.0418,41.8
0.0418,41.8
0.043,43
0.0436,43.6
0.044,44
0.0446,44.6
0.0452,45.2
0.0454,45.4
0.0456,45.6
0.0456,45.6
0.046,46
0.0462,46.2
0.0466,46.6
0.0466,46.6
0.0466,46.6
0.0468,46.8
0.0468,46.8
0.047,47
0.0472,47.2
0.0476,47.6
0.0476,47.6
0.0476,47.6
0.0478,47.8
0.048,48
0.0482,48.2
0.0484,48.4
0.049,49
0.0492,49.2
0.0494,49.4
0.0494,49.4
0.0494,49.4
0.0498,49.8
0.0498,49.8
0.0502,50.2
0.0506,50.6
0.0512,51.2
0.0516,51.6
0.0518,51.8
0.052,52
0.052,52
0.0522,52.2
0.0526,52.6
0.053,53
0.053,53
0.0536,53.6
0.0536,53.6
0.0536,53.6
0.0538,53.8
0.054,54
0.054,54
0.054,54
0.0542,54.2
0.0546,54.6
0.0558,55.8
0.056,56
