"avg_prop_infected","avg_num_infected"
0.011,11
0.0122,12.2
0.0126,12.6
0.0132,13.2
0.014,14
0.0142,14.2
0.0148,14.8
0.0156,15.6
0.0164,16.4
0.0166,16.6
0.0172,17.2
0.0186,18.6
0.0194,19.4
0.0198,19.8
0.0208,20.8
0.0212,21.2
0.0222,22.2
0.0224,22.4
0.0232,23.2
0.0236,23.6
0.0244,24.4
0.0248,24.8
0.0252,25.2
0.0262,26.2
0.0264,26.4
0.0268,26.8
0.0272,27.2
0.0276,27.6
0.0286,28.6
0.0288,28.8
0.0294,29.4
0.0312,31.2
0.0314,31.4
0.0318,31.8
0.0326,32.6
0.0326,32.6
0.0336,33.6
0.0336,33.6
0.0344,34.4
0.035,35
0.0358,35.8
0.0366,36.6
0.0372,37.2
0.0372,37.2
0.038,38
0.0382,38.2
0.0392,39.2
0.04,40
0.0402,40.2
0.0406,40.6
0.041,41
0.0412,41.2
0.0412,41.2
0.0414,41.4
0.042,42
0.0424,42.4
0.043,43
0.044,44
0.0444,44.4
0.0448,44.8
0.045,45
0.0452,45.2
0.0454,45.4
0.0456,45.6
0.0458,45.8
0.0462,46.2
0.0462,46.2
0.0468,46.8
0.0468,46.8
0.0468,46.8
0.047,47
0.0472,47.2
0.0478,47.8
0.048,48
0.0486,48.6
0.0496,49.6
0.0498,49.8
0.05,50
0.05,50
0.05,50
0.0502,50.2
0.0504,50.4
0.0506,50.6
0.0506,50.6
0.0506,50.6
0.0508,50.8
0.051,51
0.0512,51.2
0.0512,51.2
0.0512,51.2
0.0512,51.2
0.0516,51.6
0.0518,51.8
0.052,52
0.0522,52.2
0.0526,52.6
0.0534,53.4
0.0538,53.8
0.054,54
0.055,55
