"avg_prop_infected","avg_num_infected"
0.0106,10.6
0.0106,10.6
0.0114,11.4
0.013,13
0.0146,14.6
0.015,15
0.0158,15.8
0.0168,16.8
0.0174,17.4
0.0182,18.2
0.0188,18.8
0.0202,20.2
0.0206,20.6
0.0216,21.6
0.0226,22.6
0.0228,22.8
0.023,23
0.0242,24.2
0.0254,25.4
0.0262,26.2
0.0268,26.8
0.0268,26.8
0.0276,27.6
0.0284,28.4
0.029,29
0.03,30
0.0308,30.8
0.0314,31.4
0.0322,32.2
0.0324,32.4
0.0328,32.8
0.0338,33.8
0.0342,34.2
0.0348,34.8
0.0352,35.2
0.0356,35.6
0.0366,36.6
0.0372,37.2
0.0376,37.6
0.0384,38.4
0.0386,38.6
0.0394,39.4
0.0402,40.2
0.041,41
0.0412,41.2
0.0416,41.6
0.0418,41.8
0.0418,41.8
0.042,42
0.0422,42.2
0.0424,42.4
0.0432,43.2
0.044,44
0.0444,44.4
0.0446,44.6
0.0446,44.6
0.0456,45.6
0.0458,45.8
0.0464,46.4
0.0468,46.8
0.0472,47.2
0.0476,47.6
0.0476,47.6
0.048,48
0.0482,48.2
0.0484,48.4
0.0486,48.6
0.049,49
0.0494,49.4
0.05,50
0.0504,50.4
0.0508,50.8
0.051,51
0.051,51
0.0516,51.6
0.0516,51.6
0.0518,51.8
0.0518,51.8
0.0522,52.2
0.053,53
0.0532,53.2
0.0536,53.6
0.0542,54.2
0.0544,54.4
0.055,55
0.0556,55.6
0.0558,55.8
0.056,56
0.056,56
0.0566,56.6
0.0568,56.8
0.057,57
0.0574,57.4
0.0574,57.4
0.0576,57.6
0.058,58
0.0586,58.6
0.0592,59.2
0.0596,59.6
0.0598,59.8
