"avg_prop_infected","avg_num_infected"
0.0102,10.2
0.0112,11.2
0.0118,11.8
0.012,12
0.0126,12.6
0.013,13
0.0132,13.2
0.0134,13.4
0.0138,13.8
0.015,15
0.0158,15.8
0.0166,16.6
0.017,17
0.017,17
0.0178,17.8
0.0188,18.8
0.02,20
0.0204,20.4
0.0214,21.4
0.0218,21.8
0.023,23
0.0244,24.4
0.0252,25.2
0.0258,25.8
0.0264,26.4
0.0266,26.6
0.0272,27.2
0.0276,27.6
0.0278,27.8
0.0284,28.4
0.0292,29.2
0.0294,29.4
0.0298,29.8
0.0302,30.2
0.0306,30.6
0.0314,31.4
0.0326,32.6
0.0334,33.4
0.0344,34.4
0.0344,34.4
0.0352,35.2
0.0354,35.4
0.0358,35.8
0.0362,36.2
0.0364,36.4
0.0364,36.4
0.0372,37.2
0.0374,37.4
0.0376,37.6
0.0384,38.4
0.0386,38.6
0.0394,39.4
0.0398,39.8
0.0404,40.4
0.0406,40.6
0.041,41
0.0412,41.2
0.0412,41.2
0.0414,41.4
0.042,42
0.0428,42.8
0.0434,43.4
0.044,44
0.0446,44.6
0.045,45
0.0456,45.6
0.046,46
0.046,46
0.0466,46.6
0.0468,46.8
0.0468,46.8
0.0472,47.2
0.0474,47.4
0.048,48
0.0484,48.4
0.049,49
0.0494,49.4
0.0502,50.2
0.051,51
0.0516,51.6
0.0522,52.2
0.0528,52.8
0.053,53
0.0532,53.2
0.054,54
0.054,54
0.054,54
0.0544,54.4
0.0552,55.2
0.0556,55.6
0.0564,56.4
0.0564,56.4
0.0568,56.8
0.057,57
0.0572,57.2
0.0576,57.6
0.0578,57.8
0.058,58
0.0582,58.2
0.0586,58.6
