"avg_prop_infected","avg_num_infected"
0.0104,10.4
0.0108,10.8
0.012,12
0.0124,12.4
0.013,13
0.014,14
0.0144,14.4
0.015,15
0.0166,16.6
0.0176,17.6
0.0184,18.4
0.0196,19.6
0.0202,20.2
0.021,21
0.022,22
0.0224,22.4
0.0236,23.6
0.0246,24.6
0.0254,25.4
0.0264,26.4
0.0268,26.8
0.0274,27.4
0.0284,28.4
0.0288,28.8
0.0292,29.2
0.0298,29.8
0.0302,30.2
0.0314,31.4
0.0322,32.2
0.0324,32.4
0.0328,32.8
0.0334,33.4
0.0338,33.8
0.0342,34.2
0.0346,34.6
0.035,35
0.0352,35.2
0.036,36
0.0364,36.4
0.0368,36.8
0.037,37
0.0374,37.4
0.038,38
0.0382,38.2
0.0382,38.2
0.0386,38.6
0.0388,38.8
0.0394,39.4
0.0398,39.8
0.0402,40.2
0.0408,40.8
0.0412,41.2
0.0416,41.6
0.0428,42.8
0.043,43
0.0432,43.2
0.0438,43.8
0.0442,44.2
0.045,45
0.0452,45.2
0.046,46
0.0468,46.8
0.047,47
0.048,48
0.0484,48.4
0.0488,48.8
0.0494,49.4
0.0498,49.8
0.0502,50.2
0.0504,50.4
0.0512,51.2
0.0514,51.4
0.0518,51.8
0.052,52
0.0524,52.4
0.0528,52.8
0.0532,53.2
0.0538,53.8
0.054,54
0.0548,54.8
0.0554,55.4
0.0558,55.8
0.056,56
0.0564,56.4
0.0566,56.6
0.0568,56.8
0.0568,56.8
0.057,57
0.0576,57.6
0.058,58
0.058,58
0.0584,58.4
0.0588,58.8
0.059,59
0.0592,59.2
0.0598,59.8
0.0598,59.8
0.0606,60.6
0.0608,60.8
0.0608,60.8
