"avg_prop_infected","avg_num_infected"
0.011,11
0.0118,11.8
0.0126,12.6
0.0136,13.6
0.0154,15.4
0.0176,17.6
0.0188,18.8
0.0206,20.6
0.0228,22.8
0.0244,24.4
0.0266,26.6
0.0286,28.6
0.03,30
0.031,31
0.0336,33.6
0.0352,35.2
0.0374,37.4
0.0404,40.4
0.0434,43.4
0.0452,45.2
0.0488,48.8
0.0516,51.6
0.054,54
0.0572,57.2
0.0602,60.2
0.0642,64.2
0.068,68
0.0718,71.8
0.0756,75.6
0.0794,79.4
0.0824,82.4
0.087,87
0.0906,90.6
0.0942,94.2
0.0998,99.8
0.1046,104.6
0.1082,108.2
0.1136,113.6
0.1208,120.8
0.1236,123.6
0.1294,129.4
0.137,137
0.144,144
0.1482,148.2
0.1552,155.2
0.1608,160.8
0.1664,166.4
0.1744,174.4
0.1816,181.6
0.189,189
0.1968,196.8
0.204,204
0.212,212
0.221,221
0.2292,229.2
0.239,239
0.2492,249.2
0.2568,256.8
0.2648,264.8
0.2736,273.6
0.2832,283.2
0.293,293
0.3044,304.4
0.3152,315.2
0.3252,325.2
0.334,334
0.3456,345.6
0.3576,357.6
0.3688,368.8
0.3782,378.2
0.3858,385.8
0.396,396
0.4062,406.2
0.4172,417.2
0.4246,424.6
0.4336,433.6
0.444,444
0.4552,455.2
0.465,465
0.4754,475.4
0.4842,484.2
0.4938,493.8
0.5054,505.4
0.5144,514.4
0.5256,525.6
0.5374,537.4
0.549,549
0.5598,559.8
0.569,569
0.5802,580.2
0.5898,589.8
0.5984,598.4
0.606,606
0.6134,613.4
0.6222,622.2
0.6308,630.8
0.6396,639.6
0.6494,649.4
0.6576,657.6
0.6646,664.6
