"avg_prop_infected","avg_num_infected"
0.011,11
0.0128,12.8
0.0142,14.2
0.0154,15.4
0.0168,16.8
0.0174,17.4
0.0188,18.8
0.02,20
0.0212,21.2
0.0236,23.6
0.0248,24.8
0.0256,25.6
0.0278,27.8
0.0288,28.8
0.0304,30.4
0.0324,32.4
0.0352,35.2
0.038,38
0.0402,40.2
0.0436,43.6
0.0468,46.8
0.0502,50.2
0.053,53
0.057,57
0.0584,58.4
0.0606,60.6
0.0642,64.2
0.0684,68.4
0.0716,71.6
0.0736,73.6
0.0766,76.6
0.0816,81.6
0.0868,86.8
0.0908,90.8
0.096,96
0.1006,100.6
0.105,105
0.1102,110.2
0.1148,114.8
0.119,119
0.126,126
0.1322,132.2
0.139,139
0.1474,147.4
0.1534,153.4
0.1606,160.6
0.1676,167.6
0.1738,173.8
0.1806,180.6
0.1864,186.4
0.194,194
0.203,203
0.214,214
0.2216,221.6
0.2304,230.4
0.239,239
0.2482,248.2
0.2582,258.2
0.2668,266.8
0.2756,275.6
0.2852,285.2
0.2954,295.4
0.3058,305.8
0.315,315
0.3264,326.4
0.3372,337.2
0.3474,347.4
0.3572,357.2
0.3672,367.2
0.3808,380.8
0.3918,391.8
0.4032,403.2
0.4132,413.2
0.4238,423.8
0.4364,436.4
0.4478,447.8
0.4602,460.2
0.471,471
0.4846,484.6
0.4962,496.2
0.5086,508.6
0.5236,523.6
0.5364,536.4
0.547,547
0.5584,558.4
0.568,568
0.5778,577.8
0.5856,585.6
0.5972,597.2
0.6056,605.6
0.6144,614.4
0.6196,619.6
0.629,629
0.6376,637.6
0.6478,647.8
0.6554,655.4
0.6642,664.2
0.6712,671.2
0.6792,679.2
0.6854,685.4
