"avg_prop_infected","avg_num_infected"
0.0118,11.8
0.013,13
0.0144,14.4
0.0148,14.8
0.0158,15.8
0.0174,17.4
0.0178,17.8
0.0186,18.6
0.0198,19.8
0.0212,21.2
0.022,22
0.0238,23.8
0.0252,25.2
0.0258,25.8
0.0278,27.8
0.0296,29.6
0.0306,30.6
0.033,33
0.0348,34.8
0.037,37
0.0398,39.8
0.042,42
0.046,46
0.0478,47.8
0.0508,50.8
0.0542,54.2
0.058,58
0.061,61
0.066,66
0.0682,68.2
0.0722,72.2
0.076,76
0.079,79
0.0846,84.6
0.089,89
0.0934,93.4
0.0968,96.8
0.1024,102.4
0.1078,107.8
0.1116,111.6
0.1166,116.6
0.1226,122.6
0.1272,127.2
0.1342,134.2
0.1396,139.6
0.1468,146.8
0.1532,153.2
0.1604,160.4
0.1656,165.6
0.1722,172.2
0.1814,181.4
0.188,188
0.1942,194.2
0.2024,202.4
0.2088,208.8
0.2164,216.4
0.2252,225.2
0.2348,234.8
0.2438,243.8
0.2552,255.2
0.2624,262.4
0.2732,273.2
0.2808,280.8
0.2912,291.2
0.2996,299.6
0.3088,308.8
0.318,318
0.3278,327.8
0.3368,336.8
0.3472,347.2
0.3578,357.8
0.3668,366.8
0.3796,379.6
0.391,391
0.4042,404.2
0.4144,414.4
0.4266,426.6
0.438,438
0.4476,447.6
0.4574,457.4
0.4664,466.4
0.4766,476.6
0.4878,487.8
0.4992,499.2
0.51,510
0.519,519
0.5306,530.6
0.5408,540.8
0.5492,549.2
0.5578,557.8
0.5668,566.8
0.5774,577.4
0.587,587
0.597,597
0.6058,605.8
0.6152,615.2
0.624,624
0.6324,632.4
0.6416,641.6
0.6514,651.4
