"avg_prop_infected","avg_num_infected"
0.0102,10.2
0.011,11
0.0122,12.2
0.014,14
0.0152,15.2
0.017,17
0.0186,18.6
0.0206,20.6
0.0216,21.6
0.0228,22.8
0.024,24
0.0264,26.4
0.0278,27.8
0.0292,29.2
0.0308,30.8
0.0322,32.2
0.0342,34.2
0.0364,36.4
0.0394,39.4
0.0428,42.8
0.0456,45.6
0.0482,48.2
0.0512,51.2
0.053,53
0.0548,54.8
0.0576,57.6
0.0614,61.4
0.0674,67.4
0.071,71
0.0738,73.8
0.077,77
0.0804,80.4
0.0842,84.2
0.0878,87.8
0.093,93
0.0992,99.2
0.107,107
0.1122,112.2
0.118,118
0.123,123
0.1268,126.8
0.1324,132.4
0.1376,137.6
0.1454,145.4
0.152,152
0.159,159
0.1666,166.6
0.1742,174.2
0.1826,182.6
0.1916,191.6
0.202,202
0.2108,210.8
0.2194,219.4
0.2288,228.8
0.2372,237.2
0.2434,243.4
0.2528,252.8
0.2614,261.4
0.2704,270.4
0.281,281
0.2918,291.8
0.3024,302.4
0.3128,312.8
0.326,326
0.3388,338.8
0.3516,351.6
0.363,363
0.3742,374.2
0.381,381
0.3924,392.4
0.406,406
0.4194,419.4
0.4316,431.6
0.442,442
0.4536,453.6
0.4656,465.6
0.4784,478.4
0.4874,487.4
0.4984,498.4
0.5094,509.4
0.5218,521.8
0.5298,529.8
0.5376,537.6
0.5478,547.8
0.5584,558.4
0.5696,569.6
0.5798,579.8
0.5904,590.4
0.6,600
0.6098,609.8
0.619,619
0.6292,629.2
0.636,636
0.647,647
0.6578,657.8
0.6658,665.8
0.6734,673.4
0.6836,683.6
0.69,690
0.6998,699.8
