"avg_prop_infected","avg_num_infected"
0.011,11
0.012,12
0.0126,12.6
0.014,14
0.0158,15.8
0.0162,16.2
0.018,18
0.0192,19.2
0.0216,21.6
0.0232,23.2
0.0244,24.4
0.027,27
0.0288,28.8
0.0314,31.4
0.034,34
0.0354,35.4
0.0382,38.2
0.0422,42.2
0.0446,44.6
0.0464,46.4
0.049,49
0.053,53
0.0546,54.6
0.0582,58.2
0.0612,61.2
0.0652,65.2
0.0684,68.4
0.0722,72.2
0.076,76
0.0808,80.8
0.0858,85.8
0.0896,89.6
0.0942,94.2
0.1,100
0.1048,104.8
0.1102,110.2
0.1168,116.8
0.1226,122.6
0.1274,127.4
0.1316,131.6
0.1376,137.6
0.1436,143.6
0.15,150
0.157,157
0.1644,164.4
0.1754,175.4
0.184,184
0.192,192
0.1988,198.8
0.206,206
0.2152,215.2
0.223,223
0.2324,232.4
0.2418,241.8
0.2538,253.8
0.2654,265.4
0.2746,274.6
0.2826,282.6
0.2916,291.6
0.3018,301.8
0.3124,312.4
0.3246,324.6
0.3352,335.2
0.3458,345.8
0.3552,355.2
0.3664,366.4
0.3786,378.6
0.3918,391.8
0.4022,402.2
0.4118,411.8
0.4226,422.6
0.4334,433.4
0.4442,444.2
0.4562,456.2
0.4686,468.6
0.4798,479.8
0.4916,491.6
0.5026,502.6
0.5126,512.6
0.5228,522.8
0.5328,532.8
0.5432,543.2
0.5536,553.6
0.5618,561.8
0.5736,573.6
0.5844,584.4
0.5966,596.6
0.6064,606.4
0.6154,615.4
0.6228,622.8
0.63,630
0.6386,638.6
0.645,645
0.6548,654.8
0.663,663
0.6712,671.2
0.6798,679.8
0.6872,687.2
0.6936,693.6
0.6994,699.4
