"avg_prop_infected","avg_num_infected"
0.0108,10.8
0.0112,11.2
0.013,13
0.0136,13.6
0.0146,14.6
0.0162,16.2
0.0182,18.2
0.0192,19.2
0.0212,21.2
0.0232,23.2
0.0242,24.2
0.0258,25.8
0.0276,27.6
0.0296,29.6
0.0304,30.4
0.0322,32.2
0.0336,33.6
0.0356,35.6
0.0374,37.4
0.0392,39.2
0.0414,41.4
0.0426,42.6
0.0462,46.2
0.0492,49.2
0.0536,53.6
0.0564,56.4
0.0602,60.2
0.0656,65.6
0.0706,70.6
0.0746,74.6
0.0774,77.4
0.0824,82.4
0.086,86
0.0898,89.8
0.0948,94.8
0.098,98
0.1036,103.6
0.1064,106.4
0.1124,112.4
0.1176,117.6
0.1228,122.8
0.1282,128.2
0.1358,135.8
0.1422,142.2
0.1478,147.8
0.155,155
0.1628,162.8
0.1682,168.2
0.1744,174.4
0.1804,180.4
0.1878,187.8
0.1966,196.6
0.2054,205.4
0.2134,213.4
0.2212,221.2
0.2272,227.2
0.2368,236.8
0.2486,248.6
0.2572,257.2
0.2656,265.6
0.2738,273.8
0.2834,283.4
0.2934,293.4
0.302,302
0.311,311
0.3212,321.2
0.3312,331.2
0.3422,342.2
0.3522,352.2
0.3616,361.6
0.3696,369.6
0.3836,383.6
0.3934,393.4
0.4036,403.6
0.4152,415.2
0.4246,424.6
0.4342,434.2
0.4434,443.4
0.4562,456.2
0.4686,468.6
0.4798,479.8
0.4896,489.6
0.502,502
0.5106,510.6
0.5208,520.8
0.5306,530.6
0.5404,540.4
0.5512,551.2
0.56,560
0.571,571
0.5804,580.4
0.5894,589.4
0.5984,598.4
0.607,607
0.6164,616.4
0.6244,624.4
0.6344,634.4
0.6422,642.2
0.652,652
0.6598,659.8
