"avg_prop_infected","avg_num_infected"
0.0112,11.2
0.0114,11.4
0.0124,12.4
0.013,13
0.0146,14.6
0.016,16
0.0168,16.8
0.0176,17.6
0.0186,18.6
0.0198,19.8
0.0204,20.4
0.0218,21.8
0.0226,22.6
0.0246,24.6
0.0254,25.4
0.026,26
0.0272,27.2
0.0282,28.2
0.0302,30.2
0.0306,30.6
0.032,32
0.033,33
0.0338,33.8
0.0354,35.4
0.0374,37.4
0.0394,39.4
0.0414,41.4
0.044,44
0.0448,44.8
0.0462,46.2
0.0478,47.8
0.05,50
0.0512,51.2
0.0526,52.6
0.0542,54.2
0.0556,55.6
0.0568,56.8
0.058,58
0.059,59
0.06,60
0.0612,61.2
0.0622,62.2
0.064,64
0.0648,64.8
0.0654,65.4
0.0668,66.8
0.0678,67.8
0.0706,70.6
0.072,72
0.0732,73.2
0.074,74
0.0758,75.8
0.0772,77.2
0.0784,78.4
0.0794,79.4
0.0812,81.2
0.0814,81.4
0.0832,83.2
0.0842,84.2
0.0868,86.8
0.089,89
0.09,90
0.092,92
0.0938,93.8
0.0948,94.8
0.0968,96.8
0.098,98
0.1008,100.8
0.1032,103.2
0.1046,104.6
0.1068,106.8
0.1086,108.6
0.112,112
0.114,114
0.1164,116.4
0.1182,118.2
0.1204,120.4
0.1222,122.2
0.1228,122.8
0.126,126
0.1292,129.2
0.1312,131.2
0.1332,133.2
0.1356,135.6
0.1382,138.2
0.1416,141.6
0.1428,142.8
0.1444,144.4
0.1468,146.8
0.1484,148.4
0.15,150
0.1516,151.6
0.1542,154.2
0.1562,156.2
0.1568,156.8
0.159,159
0.1608,160.8
0.1632,163.2
0.1656,165.6
0.1672,167.2
