"avg_prop_infected","avg_num_infected"
0.0104,10.4
0.0112,11.2
0.012,12
0.0126,12.6
0.014,14
0.0152,15.2
0.0168,16.8
0.018,18
0.0192,19.2
0.0196,19.6
0.0218,21.8
0.023,23
0.0244,24.4
0.0258,25.8
0.0266,26.6
0.027,27
0.0288,28.8
0.0296,29.6
0.0308,30.8
0.0316,31.6
0.0326,32.6
0.0342,34.2
0.0358,35.8
0.0368,36.8
0.037,37
0.0378,37.8
0.0384,38.4
0.0408,40.8
0.0422,42.2
0.0432,43.2
0.044,44
0.0468,46.8
0.048,48
0.0496,49.6
0.0506,50.6
0.0522,52.2
0.0536,53.6
0.0554,55.4
0.0558,55.8
0.0568,56.8
0.0582,58.2
0.0606,60.6
0.0622,62.2
0.0646,64.6
0.066,66
0.0676,67.6
0.069,69
0.0712,71.2
0.0728,72.8
0.074,74
0.0746,74.6
0.0772,77.2
0.08,80
0.0814,81.4
0.0828,82.8
0.0838,83.8
0.0856,85.6
0.0868,86.8
0.088,88
0.0896,89.6
0.0912,91.2
0.0934,93.4
0.0954,95.4
0.0964,96.4
0.0988,98.8
0.1018,101.8
0.1032,103.2
0.104,104
0.1052,105.2
0.1072,107.2
0.108,108
0.1096,109.6
0.1116,111.6
0.1144,114.4
0.1166,116.6
0.1188,118.8
0.1204,120.4
0.1232,123.2
0.1254,125.4
0.1276,127.6
0.1308,130.8
0.133,133
0.134,134
0.1358,135.8
0.138,138
0.1402,140.2
0.1422,142.2
0.145,145
0.1474,147.4
0.15,150
0.1514,151.4
0.1536,153.6
0.1558,155.8
0.1572,157.2
0.1606,160.6
0.162,162
0.1636,163.6
0.1654,165.4
0.1684,168.4
0.1708,170.8
