"avg_prop_infected","avg_num_infected"
0.0116,11.6
0.0122,12.2
0.0136,13.6
0.0154,15.4
0.0162,16.2
0.0178,17.8
0.0184,18.4
0.0188,18.8
0.0194,19.4
0.0204,20.4
0.0214,21.4
0.0226,22.6
0.024,24
0.0246,24.6
0.0262,26.2
0.028,28
0.03,30
0.031,31
0.0322,32.2
0.0328,32.8
0.0338,33.8
0.035,35
0.0364,36.4
0.0372,37.2
0.0396,39.6
0.0408,40.8
0.0436,43.6
0.0454,45.4
0.047,47
0.0488,48.8
0.0496,49.6
0.0506,50.6
0.0514,51.4
0.0536,53.6
0.056,56
0.058,58
0.0588,58.8
0.06,60
0.0624,62.4
0.0642,64.2
0.0652,65.2
0.0664,66.4
0.0676,67.6
0.0696,69.6
0.0718,71.8
0.0738,73.8
0.0756,75.6
0.0768,76.8
0.0782,78.2
0.0802,80.2
0.0818,81.8
0.0844,84.4
0.0864,86.4
0.0888,88.8
0.0904,90.4
0.0918,91.8
0.0934,93.4
0.0948,94.8
0.0962,96.2
0.0972,97.2
0.0992,99.2
0.101,101
0.1028,102.8
0.1054,105.4
0.1064,106.4
0.1082,108.2
0.1094,109.4
0.1114,111.4
0.1136,113.6
0.1152,115.2
0.1174,117.4
0.1198,119.8
0.1224,122.4
0.1248,124.8
0.1256,125.6
0.1272,127.2
0.1292,129.2
0.1304,130.4
0.132,132
0.134,134
0.1366,136.6
0.1394,139.4
0.1408,140.8
0.1422,142.2
0.1454,145.4
0.1488,148.8
0.151,151
0.1536,153.6
0.155,155
0.1578,157.8
0.1596,159.6
0.163,163
0.165,165
0.1674,167.4
0.1696,169.6
0.1706,170.6
0.1732,173.2
0.1754,175.4
0.1776,177.6
0.1792,179.2
