"avg_prop_infected","avg_num_infected"
0.0112,11.2
0.0116,11.6
0.0126,12.6
0.0136,13.6
0.014,14
0.0146,14.6
0.0156,15.6
0.017,17
0.0182,18.2
0.0188,18.8
0.0202,20.2
0.0212,21.2
0.0216,21.6
0.0228,22.8
0.0238,23.8
0.025,25
0.0266,26.6
0.027,27
0.0282,28.2
0.0298,29.8
0.0308,30.8
0.0314,31.4
0.0328,32.8
0.0338,33.8
0.0346,34.6
0.036,36
0.0374,37.4
0.0388,38.8
0.0408,40.8
0.0416,41.6
0.0422,42.2
0.0434,43.4
0.045,45
0.046,46
0.0478,47.8
0.0484,48.4
0.05,50
0.051,51
0.0528,52.8
0.0544,54.4
0.0558,55.8
0.0566,56.6
0.0586,58.6
0.061,61
0.0626,62.6
0.0638,63.8
0.0658,65.8
0.0668,66.8
0.0674,67.4
0.0688,68.8
0.0702,70.2
0.0722,72.2
0.0732,73.2
0.0752,75.2
0.0772,77.2
0.0784,78.4
0.0808,80.8
0.0826,82.6
0.0842,84.2
0.0864,86.4
0.0872,87.2
0.0892,89.2
0.0904,90.4
0.0912,91.2
0.0932,93.2
0.0942,94.2
0.0964,96.4
0.0982,98.2
0.1006,100.6
0.1032,103.2
0.1046,104.6
0.1058,105.8
0.1078,107.8
0.1092,109.2
0.1108,110.8
0.113,113
0.1152,115.2
0.1162,116.2
0.117,117
0.1198,119.8
0.1222,122.2
0.1236,123.6
0.1256,125.6
0.1274,127.4
0.129,129
0.1298,129.8
0.133,133
0.1366,136.6
0.1398,139.8
0.1408,140.8
0.1426,142.6
0.1464,146.4
0.1482,148.2
0.1492,149.2
0.1512,151.2
0.1534,153.4
0.1546,154.6
0.1554,155.4
0.1574,157.4
0.1598,159.8
