"avg_prop_infected","avg_num_infected"
0.0108,10.8
0.0118,11.8
0.0126,12.6
0.0138,13.8
0.0152,15.2
0.0168,16.8
0.0186,18.6
0.02,20
0.0218,21.8
0.0232,23.2
0.0246,24.6
0.0262,26.2
0.0276,27.6
0.029,29
0.0298,29.8
0.0308,30.8
0.032,32
0.0342,34.2
0.035,35
0.0362,36.2
0.0374,37.4
0.039,39
0.0408,40.8
0.0418,41.8
0.043,43
0.0436,43.6
0.0446,44.6
0.0458,45.8
0.047,47
0.0486,48.6
0.0496,49.6
0.0518,51.8
0.0544,54.4
0.0556,55.6
0.0576,57.6
0.059,59
0.0608,60.8
0.0616,61.6
0.0626,62.6
0.0636,63.6
0.0644,64.4
0.0652,65.2
0.0672,67.2
0.0692,69.2
0.0708,70.8
0.0724,72.4
0.0732,73.2
0.0744,74.4
0.076,76
0.0768,76.8
0.0782,78.2
0.0806,80.6
0.0814,81.4
0.083,83
0.0842,84.2
0.0856,85.6
0.0868,86.8
0.0886,88.6
0.0896,89.6
0.0906,90.6
0.092,92
0.094,94
0.0948,94.8
0.0964,96.4
0.0984,98.4
0.0998,99.8
0.1014,101.4
0.1034,103.4
0.106,106
0.107,107
0.1082,108.2
0.1102,110.2
0.1114,111.4
0.1134,113.4
0.1152,115.2
0.1162,116.2
0.118,118
0.1198,119.8
0.1216,121.6
0.1228,122.8
0.1252,125.2
0.1266,126.6
0.128,128
0.1296,129.6
0.1316,131.6
0.134,134
0.1356,135.6
0.138,138
0.1398,139.8
0.1408,140.8
0.1432,143.2
0.1442,144.2
0.148,148
0.149,149
0.1514,151.4
0.1538,153.8
0.1558,155.8
0.1584,158.4
0.1602,160.2
0.1632,163.2
