"avg_prop_infected","avg_num_infected"
0.0104,10.4
0.0122,12.2
0.013,13
0.0132,13.2
0.0138,13.8
0.016,16
0.0164,16.4
0.017,17
0.0184,18.4
0.0186,18.6
0.0194,19.4
0.021,21
0.0216,21.6
0.0228,22.8
0.0238,23.8
0.025,25
0.027,27
0.0274,27.4
0.0292,29.2
0.03,30
0.0312,31.2
0.032,32
0.0332,33.2
0.0342,34.2
0.0346,34.6
0.0356,35.6
0.0364,36.4
0.037,37
0.039,39
0.0404,40.4
0.042,42
0.0434,43.4
0.0448,44.8
0.0464,46.4
0.0472,47.2
0.0482,48.2
0.0494,49.4
0.0502,50.2
0.0518,51.8
0.0534,53.4
0.055,55
0.0566,56.6
0.0588,58.8
0.0594,59.4
0.0608,60.8
0.0616,61.6
0.0624,62.4
0.0634,63.4
0.0646,64.6
0.0668,66.8
0.0686,68.6
0.0698,69.8
0.072,72
0.0742,74.2
0.0764,76.4
0.0776,77.6
0.0798,79.8
0.0818,81.8
0.0826,82.6
0.0844,84.4
0.086,86
0.0874,87.4
0.0892,89.2
0.0898,89.8
0.0914,91.4
0.0934,93.4
0.095,95
0.0964,96.4
0.0984,98.4
0.1004,100.4
0.101,101
0.103,103
0.1038,103.8
0.1044,104.4
0.106,106
0.1082,108.2
0.11,110
0.1118,111.8
0.113,113
0.1144,114.4
0.1162,116.2
0.1174,117.4
0.1194,119.4
0.121,121
0.1222,122.2
0.1234,123.4
0.1244,124.4
0.1254,125.4
0.127,127
0.1274,127.4
0.1282,128.2
0.1298,129.8
0.1316,131.6
0.1332,133.2
0.1344,134.4
0.1362,136.2
0.1376,137.6
0.1392,139.2
0.141,141
0.1432,143.2
