"avg_prop_infected","avg_num_infected"
0.0108,10.8
0.0128,12.8
0.0148,14.8
0.0174,17.4
0.0194,19.4
0.0226,22.6
0.0264,26.4
0.0292,29.2
0.0322,32.2
0.0364,36.4
0.0396,39.6
0.045,45
0.0506,50.6
0.054,54
0.0576,57.6
0.0626,62.6
0.0674,67.4
0.0736,73.6
0.082,82
0.0906,90.6
0.0996,99.6
0.109,109
0.1198,119.8
0.1312,131.2
0.143,143
0.153,153
0.1676,167.6
0.1824,182.4
0.1968,196.8
0.2126,212.6
0.2262,226.2
0.2434,243.4
0.2596,259.6
0.2758,275.8
0.294,294
0.3104,310.4
0.3316,331.6
0.3526,352.6
0.3732,373.2
0.397,397
0.4206,420.6
0.443,443
0.4644,464.4
0.4844,484.4
0.5108,510.8
0.5348,534.8
0.559,559
0.5818,581.8
0.6036,603.6
0.6292,629.2
0.6542,654.2
0.676,676
0.698,698
0.7132,713.2
0.7304,730.4
0.751,751
0.7688,768.8
0.7876,787.6
0.8034,803.4
0.8186,818.6
0.8308,830.8
0.8454,845.4
0.8586,858.6
0.8708,870.8
0.8818,881.8
0.8916,891.6
0.901,901
0.909,909
0.9176,917.6
0.9232,923.2
0.9298,929.8
0.935,935
0.9404,940.4
0.9456,945.6
0.95,950
0.9534,953.4
0.9588,958.8
0.9622,962.2
0.9654,965.4
0.9674,967.4
0.9708,970.8
0.9734,973.4
0.9754,975.4
0.9776,977.6
0.9798,979.8
0.9802,980.2
0.9822,982.2
0.984,984
0.985,985
0.9858,985.8
0.987,987
0.9876,987.6
0.9882,988.2
0.9886,988.6
0.9894,989.4
0.9902,990.2
0.9904,990.4
0.9906,990.6
0.9912,991.2
0.9916,991.6
